state,year,quarter,registered_users,app_opens
Andaman & Nicobar Islands,2018,1,6740,0
Andaman & Nicobar Islands,2018,2,9405,0
Andaman & Nicobar Islands,2018,3,12149,0
Andaman & Nicobar Islands,2018,4,15222,0
Andaman & Nicobar Islands,2019,1,18596,0
Andaman & Nicobar Islands,2019,2,21731,52640
Andaman & Nicobar Islands,2019,3,23931,171107
Andaman & Nicobar Islands,2019,4,25960,177012
Andaman & Nicobar Islands,2020,1,28368,193586
Andaman & Nicobar Islands,2020,2,32710,305072
Andaman & Nicobar Islands,2020,3,41335,515565
Andaman & Nicobar Islands,2020,4,52396,887208
Andaman & Nicobar Islands,2021,1,57758,1004336
Andaman & Nicobar Islands,2021,2,62095,2248223
Andaman & Nicobar Islands,2021,3,66982,3121625
Andaman & Nicobar Islands,2021,4,71780,2112910
Andaman & Nicobar Islands,2022,1,76288,3847407
Andaman & Nicobar Islands,2022,2,80530,5180013
Andaman & Nicobar Islands,2022,3,84642,6068354
Andaman & Nicobar Islands,2022,4,88442,4354093
Andaman & Nicobar Islands,2023,1,92484,11012664
Andaman & Nicobar Islands,2023,2,96329,14738676
Andaman & Nicobar Islands,2023,3,100255,20545079
Andaman & Nicobar Islands,2023,4,103978,9845960
Andaman & Nicobar Islands,2024,1,108411,28538751
Andaman & Nicobar Islands,2024,2,112687,16876883
Andaman & Nicobar Islands,2024,3,172473,19554846
Andaman & Nicobar Islands,2024,4,178788,18691683
Andhra Pradesh,2018,1,3336450,0
Andhra Pradesh,2018,2,4402540,0
Andhra Pradesh,2018,3,5427617,0
Andhra Pradesh,2018,4,6857409,0
Andhra Pradesh,2019,1,8283019,0
Andhra Pradesh,2019,2,9389003,81375251
Andhra Pradesh,2019,3,10458693,310953542
Andhra Pradesh,2019,4,11757883,411201518
Andhra Pradesh,2020,1,13022060,486513773
Andhra Pradesh,2020,2,14319675,494341698
Andhra Pradesh,2020,3,15692405,696300382
Andhra Pradesh,2020,4,17076565,869078538
Andhra Pradesh,2021,1,18363733,957709447
Andhra Pradesh,2021,2,19620905,1044705436
Andhra Pradesh,2021,3,21059898,1258536879
Andhra Pradesh,2021,4,22489029,1447717601
Andhra Pradesh,2022,1,23857951,1254785973
Andhra Pradesh,2022,2,25157264,1378736856
Andhra Pradesh,2022,3,26496330,1357005703
Andhra Pradesh,2022,4,27778016,1673374802
Andhra Pradesh,2023,1,29065863,1442038420
Andhra Pradesh,2023,2,30240061,1427952434
Andhra Pradesh,2023,3,31493897,1157440497
Andhra Pradesh,2023,4,32658698,1310002959
Andhra Pradesh,2024,1,34008709,1080185103
Andhra Pradesh,2024,2,35303719,1061281082
Andhra Pradesh,2024,3,29145303,1660426436
Andhra Pradesh,2024,4,29984431,1866359979
Arunachal Pradesh,2018,1,21495,0
Arunachal Pradesh,2018,2,32883,0
Arunachal Pradesh,2018,3,45922,0
Arunachal Pradesh,2018,4,61852,0
Arunachal Pradesh,2019,1,76957,0
Arunachal Pradesh,2019,2,95885,502873
Arunachal Pradesh,2019,3,112149,1811700
Arunachal Pradesh,2019,4,129321,2140340
Arunachal Pradesh,2020,1,149066,2598321
Arunachal Pradesh,2020,2,177534,3387006
Arunachal Pradesh,2020,3,206046,4003421
Arunachal Pradesh,2020,4,231292,4472667
Arunachal Pradesh,2021,1,251240,4796708
Arunachal Pradesh,2021,2,270572,13025849
Arunachal Pradesh,2021,3,293073,17209654
Arunachal Pradesh,2021,4,314944,11230295
Arunachal Pradesh,2022,1,335339,41418559
Arunachal Pradesh,2022,2,354528,49889518
Arunachal Pradesh,2022,3,373372,59722628
Arunachal Pradesh,2022,4,390307,21775038
Arunachal Pradesh,2023,1,408273,88997458
Arunachal Pradesh,2023,2,426410,106089520
Arunachal Pradesh,2023,3,444789,112236680
Arunachal Pradesh,2023,4,462088,38873546
Arunachal Pradesh,2024,1,482393,143597043
Arunachal Pradesh,2024,2,500669,132013837
Arunachal Pradesh,2024,3,687168,210856966
Arunachal Pradesh,2024,4,710879,46627582
Assam,2018,1,385237,0
Assam,2018,2,571046,0
Assam,2018,3,784802,0
Assam,2018,4,1039221,0
Assam,2019,1,1259085,0
Assam,2019,2,1500128,7350326
Assam,2019,3,1731523,25393673
Assam,2019,4,1941220,26599449
Assam,2020,1,2185938,33097892
Assam,2020,2,2550883,39304924
Assam,2020,3,2830011,41875278
Assam,2020,4,3106153,49321814
Assam,2021,1,3358448,56752364
Assam,2021,2,3617056,102003890
Assam,2021,3,3918480,135288631
Assam,2021,4,4209591,130600435
Assam,2022,1,4492589,281642453
Assam,2022,2,4755787,339929089
Assam,2022,3,5016910,410760707
Assam,2022,4,5247776,248781157
Assam,2023,1,5499650,590176321
Assam,2023,2,5749682,657069673
Assam,2023,3,5998586,962849913
Assam,2023,4,6234780,558041955
Assam,2024,1,6510156,1381009332
Assam,2024,2,6767874,1728273868
Assam,2024,3,10098778,855216106
Assam,2024,4,10480927,775169459
Bihar,2018,1,2133804,0
Bihar,2018,2,3005872,0
Bihar,2018,3,3784535,0
Bihar,2018,4,4776665,0
Bihar,2019,1,5745117,0
Bihar,2019,2,6589759,39607022
Bihar,2019,3,7380265,126521298
Bihar,2019,4,8342274,163998097
Bihar,2020,1,9351234,183868505
Bihar,2020,2,10603767,218435035
Bihar,2020,3,11763213,266652644
Bihar,2020,4,12889833,317056600
Bihar,2021,1,13946288,355792608
