state,year,quarter,district,count,amount
Andaman & Nicobar Islands,2020,2,South Andaman,3,795.0
Andaman & Nicobar Islands,2020,2,Nicobars,3,565.0
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,1,281.0
Andaman & Nicobar Islands,2020,3,South Andaman,35,13651.0
Andaman & Nicobar Islands,2020,3,Nicobars,5,1448.0
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,13,17734.0
Andaman & Nicobar Islands,2020,4,South Andaman,109,137494.0
Andaman & Nicobar Islands,2020,4,Nicobars,2,2747.0
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,48,63978.0
Andaman & Nicobar Islands,2021,1,South Andaman,164,167044.0
Andaman & Nicobar Islands,2021,1,Nicobars,13,13244.0
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,28,45311.0
Andaman & Nicobar Islands,2021,2,South Andaman,105,121104.0
Andaman & Nicobar Islands,2021,2,Nicobars,4,15089.0
Andaman & Nicobar Islands,2021,3,North And Middle Andaman,33,50997.0
Andaman & Nicobar Islands,2021,3,South Andaman,182,223699.0
Andaman & Nicobar Islands,2021,3,Nicobars,15,30539.0
Andaman & Nicobar Islands,2021,4,North And Middle Andaman,81,182061.0
Andaman & Nicobar Islands,2021,4,South Andaman,632,800758.0
Andaman & Nicobar Islands,2021,4,Nicobars,44,73561.0
Andaman & Nicobar Islands,2022,1,North And Middle Andaman,48,85229.0
Andaman & Nicobar Islands,2022,1,South Andaman,692,982206.0
Andaman & Nicobar Islands,2022,1,Nicobars,28,63852.0
Andaman & Nicobar Islands,2022,2,North And Middle Andaman,45,90403.0
Andaman & Nicobar Islands,2022,2,South Andaman,430,633029.0
Andaman & Nicobar Islands,2022,2,Nicobars,26,56308.0
Andaman & Nicobar Islands,2022,3,North And Middle Andaman,70,129013.0
Andaman & Nicobar Islands,2022,3,South Andaman,535,687813.0
Andaman & Nicobar Islands,2022,3,Nicobars,38,85640.0
Andaman & Nicobar Islands,2022,4,North And Middle Andaman,112,224198.0
Andaman & Nicobar Islands,2022,4,South Andaman,750,1114857.0
Andaman & Nicobar Islands,2022,4,Nicobars,39,102155.0
Andaman & Nicobar Islands,2023,1,North And Middle Andaman,85,178969.0
Andaman & Nicobar Islands,2023,1,South Andaman,872,1172083.0
Andaman & Nicobar Islands,2023,1,Nicobars,47,88146.0
Andaman & Nicobar Islands,2023,2,North And Middle Andaman,56,109742.0
Andaman & Nicobar Islands,2023,2,South Andaman,670,1060976.0
Andaman & Nicobar Islands,2023,2,Nicobars,42,62677.0
Andaman & Nicobar Islands,2023,3,North And Middle Andaman,77,133536.0
Andaman & Nicobar Islands,2023,3,South Andaman,682,1052324.0
Andaman & Nicobar Islands,2023,3,Nicobars,36,65285.0
Andaman & Nicobar Islands,2023,4,North And Middle Andaman,95,156995.0
Andaman & Nicobar Islands,2023,4,South Andaman,1006,1504528.0
Andaman & Nicobar Islands,2023,4,Nicobars,44,96298.0
Andaman & Nicobar Islands,2024,1,North And Middle Andaman,125,229226.0
Andaman & Nicobar Islands,2024,1,South Andaman,1190,1657627.0
Andaman & Nicobar Islands,2024,1,Nicobars,56,77703.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman,74,164686.0
Andaman & Nicobar Islands,2024,2,South Andaman,974,1513489.0
Andaman & Nicobar Islands,2024,2,Nicobars,49,66519.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman,95,151791.0
Andaman & Nicobar Islands,2024,3,South Andaman,1044,1530179.0
Andaman & Nicobar Islands,2024,3,Nicobar,51,68638.0
Andaman & Nicobar Islands,2024,3,Nicobars,1,2192.0
Andaman & Nicobar Islands,2024,4,North And Middle Andaman,131,219770.0
Andaman & Nicobar Islands,2024,4,South Andaman,1085,1670015.0
Andaman & Nicobar Islands,2024,4,Nicobar,77,136595.0
Andhra Pradesh,2020,2,East Godavari,1913,352220.0
Andhra Pradesh,2020,2,Srikakulam,536,107046.0
Andhra Pradesh,2020,2,Spsr Nellore,931,176423.0
Andhra Pradesh,2020,2,Vizianagaram,893,166029.0
Andhra Pradesh,2020,2,Visakhapatnam,3504,614212.0
Andhra Pradesh,2020,2,Prakasam,847,161709.0
Andhra Pradesh,2020,2,Anantapur,2739,485777.0
Andhra Pradesh,2020,2,Ysr,1978,343002.0
Andhra Pradesh,2020,2,West Godavari,1074,202289.0
Andhra Pradesh,2020,2,Kurnool,825,158720.0
Andhra Pradesh,2020,2,Chittoor,2228,395099.0
Andhra Pradesh,2020,2,Guntur,1938,344326.0
Andhra Pradesh,2020,2,Krishna,2698,475539.0
Andhra Pradesh,2020,3,East Godavari,3783,970549.0
Andhra Pradesh,2020,3,Srikakulam,1535,383049.0
Andhra Pradesh,2020,3,Spsr Nellore,5509,1259159.0
Andhra Pradesh,2020,3,Vizianagaram,2999,691281.0
Andhra Pradesh,2020,3,Visakhapatnam,7906,1892376.0
Andhra Pradesh,2020,3,Prakasam,2565,722751.0
Andhra Pradesh,2020,3,Anantapur,2911,764850.0
Andhra Pradesh,2020,3,Ysr,3397,847519.0
Andhra Pradesh,2020,3,West Godavari,2543,696749.0
Andhra Pradesh,2020,3,Kurnool,3493,841970.0
Andhra Pradesh,2020,3,Chittoor,4422,1178762.0
Andhra Pradesh,2020,3,Guntur,4230,1083584.0
Andhra Pradesh,2020,3,Krishna,4519,1093882.0
Andhra Pradesh,2020,4,East Godavari,1965,1355741.0
Andhra Pradesh,2020,4,Srikakulam,811,546440.0
Andhra Pradesh,2020,4,Spsr Nellore,1348,810758.0
Andhra Pradesh,2020,4,Vizianagaram,897,651040.0
Andhra Pradesh,2020,4,Visakhapatnam,3464,2203761.0
Andhra Pradesh,2020,4,Prakasam,1190,572976.0
Andhra Pradesh,2020,4,Anantapur,1534,794053.0
Andhra Pradesh,2020,4,Ysr,1165,631876.0
Andhra Pradesh,2020,4,West Godavari,1390,906282.0
Andhra Pradesh,2020,4,Kurnool,1092,500768.0
Andhra Pradesh,2020,4,Chittoor,1727,1168506.0
Andhra Pradesh,2020,4,Guntur,2570,1620649.0
Andhra Pradesh,2020,4,Krishna,2311,1222782.0
Andhra Pradesh,2021,1,East Godavari,1937,1065604.0
Andhra Pradesh,2021,1,Srikakulam,854,588769.0
Andhra Pradesh,2021,1,Spsr Nellore,1323,714947.0
Andhra Pradesh,2021,1,Vizianagaram,781,526804.0
Andhra Pradesh,2021,1,Visakhapatnam,4006,2403199.0
Andhra Pradesh,2021,1,Prakasam,1182,585354.0
