state,year,quarter,district,count,amount
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,442,931663.0770939873
Andaman & Nicobar Islands,2018,1,South Andaman,5688,12560249.34366581
Andaman & Nicobar Islands,2018,1,Nicobars,528,1139848.801225994
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,825,1317863.0834906558
Andaman & Nicobar Islands,2018,2,South Andaman,9395,23948235.51634325
Andaman & Nicobar Islands,2018,2,Nicobars,1120,3072436.9081196385
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,1283,4901529.518499676
Andaman & Nicobar Islands,2018,3,South Andaman,13511,44268112.46425246
Andaman & Nicobar Islands,2018,3,Nicobars,1471,6387829.151558982
Andaman & Nicobar Islands,2018,4,North And Middle Andaman,2137,7955635.917688001
Andaman & Nicobar Islands,2018,4,South Andaman,20136,75411840.8018554
Andaman & Nicobar Islands,2018,4,Nicobars,1485,7180859.354911782
Andaman & Nicobar Islands,2019,1,North And Middle Andaman,3264,9561708.736298349
Andaman & Nicobar Islands,2019,1,South Andaman,25683,85501972.38780196
Andaman & Nicobar Islands,2019,1,Nicobars,1539,7236059.549389593
Andaman & Nicobar Islands,2019,2,North And Middle Andaman,3371,8612103.137888122
Andaman & Nicobar Islands,2019,2,South Andaman,28490,102530955.71341258
Andaman & Nicobar Islands,2019,2,Nicobars,1828,9111650.82436246
Andaman & Nicobar Islands,2019,3,North And Middle Andaman,4049,11481466.283356793
Andaman & Nicobar Islands,2019,3,South Andaman,27421,91023888.32848613
Andaman & Nicobar Islands,2019,3,Nicobars,2300,11566421.475451011
Andaman & Nicobar Islands,2019,4,North And Middle Andaman,4716,13524056.784573946
Andaman & Nicobar Islands,2019,4,South Andaman,27843,110930312.20611623
Andaman & Nicobar Islands,2019,4,Nicobars,2600,12384161.52668771
Andaman & Nicobar Islands,2020,1,North And Middle Andaman,5674,14697371.617857102
Andaman & Nicobar Islands,2020,1,South Andaman,32713,134679396.90582755
Andaman & Nicobar Islands,2020,1,Nicobars,2911,12099543.773590054
Andaman & Nicobar Islands,2020,2,North And Middle Andaman,10979,22447714.061058953
Andaman & Nicobar Islands,2020,2,South Andaman,48088,132855778.74838585
Andaman & Nicobar Islands,2020,2,Nicobars,3895,14341508.60470232
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,16747,33486883.370425556
Andaman & Nicobar Islands,2020,3,South Andaman,95323,282366109.20523936
Andaman & Nicobar Islands,2020,3,Nicobars,5413,22166453.754695386
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,29349,68941322.38839513
Andaman & Nicobar Islands,2020,4,South Andaman,186494,523122462.88302904
Andaman & Nicobar Islands,2020,4,Nicobars,8688,35218871.04342849
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,27358,75027255.27919498
Andaman & Nicobar Islands,2021,1,South Andaman,207092,669604045.1248703
Andaman & Nicobar Islands,2021,1,Nicobars,10302,39075266.9856904
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,39200,90233388.79463302
Andaman & Nicobar Islands,2021,2,South Andaman,286907,760893020.5704944
Andaman & Nicobar Islands,2021,2,Nicobars,15307,48020606.74716837
Andaman & Nicobar Islands,2021,3,North And Middle Andaman,46592,118254865.82750683
Andaman & Nicobar Islands,2021,3,South Andaman,382418,1116789010.6459613
Andaman & Nicobar Islands,2021,3,Nicobars,20754,74980519.3281361
Andaman & Nicobar Islands,2021,4,North And Middle Andaman,53115,156486112.28732437
Andaman & Nicobar Islands,2021,4,South Andaman,558571,1694794708.0093334
Andaman & Nicobar Islands,2021,4,Nicobars,24437,81329281.0269996
Andaman & Nicobar Islands,2022,1,North And Middle Andaman,60059,161624878.52274162
Andaman & Nicobar Islands,2022,1,South Andaman,705512,1872991195.902684
Andaman & Nicobar Islands,2022,1,Nicobars,29177,94414127.64974089
Andaman & Nicobar Islands,2022,2,North And Middle Andaman,72573,195693167.78757268
Andaman & Nicobar Islands,2022,2,South Andaman,954875,2357326563.362071
Andaman & Nicobar Islands,2022,2,Nicobars,43769,132900618.93062323
Andaman & Nicobar Islands,2022,3,North And Middle Andaman,79574,211581970.34202656
Andaman & Nicobar Islands,2022,3,South Andaman,1455255,2967719400.849909
Andaman & Nicobar Islands,2022,3,Nicobars,49550,131330400.94545083
Andaman & Nicobar Islands,2022,4,North And Middle Andaman,93297,241431284.3558103
Andaman & Nicobar Islands,2022,4,South Andaman,1835592,3600887266.099448
Andaman & Nicobar Islands,2022,4,Nicobars,58646,142355853.97352526
Andaman & Nicobar Islands,2023,1,North And Middle Andaman,152187,392080332.0
Andaman & Nicobar Islands,2023,1,South Andaman,2030078,3867385426.0
Andaman & Nicobar Islands,2023,1,Nicobars,94127,202062829.0
Andaman & Nicobar Islands,2023,2,North And Middle Andaman,181149,462414675.0
Andaman & Nicobar Islands,2023,2,South Andaman,2417058,4297737197.0
Andaman & Nicobar Islands,2023,2,Nicobars,109568,230192364.0
Andaman & Nicobar Islands,2023,3,North And Middle Andaman,198547,495623030.0
Andaman & Nicobar Islands,2023,3,South Andaman,2771397,4462201588.0
Andaman & Nicobar Islands,2023,3,Nicobars,128432,253772173.0
Andaman & Nicobar Islands,2023,4,North And Middle Andaman,230234,540759631.0
Andaman & Nicobar Islands,2023,4,South Andaman,3311962,5417264997.0
Andaman & Nicobar Islands,2023,4,Nicobars,153587,311527871.0
Andaman & Nicobar Islands,2024,1,North And Middle Andaman,266400,601756070.0
Andaman & Nicobar Islands,2024,1,South Andaman,3751724,5952049462.0
Andaman & Nicobar Islands,2024,1,Nicobars,166796,305346303.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman,313301,676844858.0
Andaman & Nicobar Islands,2024,2,South Andaman,4153251,6285248054.0
Andaman & Nicobar Islands,2024,2,Nicobars,186672,333687418.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman,364075,724234808.0
Andaman & Nicobar Islands,2024,3,South Andaman,4704639,6567147442.0
Andaman & Nicobar Islands,2024,3,Nicobar,210536,372462759.0
