state,year,quarter,district,registered_users,app_opens
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,632,0
Andaman & Nicobar Islands,2018,1,South Andaman,5846,0
Andaman & Nicobar Islands,2018,1,Nicobars,262,0
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,911,0
Andaman & Nicobar Islands,2018,2,South Andaman,8143,0
Andaman & Nicobar Islands,2018,2,Nicobars,351,0
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,1208,0
Andaman & Nicobar Islands,2018,3,South Andaman,10474,0
Andaman & Nicobar Islands,2018,3,Nicobars,467,0
Andaman & Nicobar Islands,2018,4,North And Middle Andaman,1553,0
Andaman & Nicobar Islands,2018,4,South Andaman,13133,0
Andaman & Nicobar Islands,2018,4,Nicobars,536,0
Andaman & Nicobar Islands,2019,1,North And Middle Andaman,2013,0
Andaman & Nicobar Islands,2019,1,South Andaman,15961,0
Andaman & Nicobar Islands,2019,1,Nicobars,622,0
Andaman & Nicobar Islands,2019,2,North And Middle Andaman,2417,6118
Andaman & Nicobar Islands,2019,2,South Andaman,18621,43569
Andaman & Nicobar Islands,2019,2,Nicobars,693,2953
Andaman & Nicobar Islands,2019,3,North And Middle Andaman,2662,22064
Andaman & Nicobar Islands,2019,3,South Andaman,20518,138190
Andaman & Nicobar Islands,2019,3,Nicobars,751,10853
Andaman & Nicobar Islands,2019,4,North And Middle Andaman,2955,26253
Andaman & Nicobar Islands,2019,4,South Andaman,22202,139646
Andaman & Nicobar Islands,2019,4,Nicobars,803,11113
Andaman & Nicobar Islands,2020,1,North And Middle Andaman,3315,30444
Andaman & Nicobar Islands,2020,1,South Andaman,24174,151529
Andaman & Nicobar Islands,2020,1,Nicobars,879,11613
Andaman & Nicobar Islands,2020,2,North And Middle Andaman,4100,56992
Andaman & Nicobar Islands,2020,2,South Andaman,27626,231071
Andaman & Nicobar Islands,2020,2,Nicobars,984,17009
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,5355,76553
Andaman & Nicobar Islands,2020,3,South Andaman,34833,417785
Andaman & Nicobar Islands,2020,3,Nicobars,1147,21227
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,7076,125915
Andaman & Nicobar Islands,2020,4,South Andaman,43908,725321
Andaman & Nicobar Islands,2020,4,Nicobars,1412,35972
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,7833,121680
Andaman & Nicobar Islands,2021,1,South Andaman,48352,837589
Andaman & Nicobar Islands,2021,1,Nicobars,1573,45067
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,8493,596182
Andaman & Nicobar Islands,2021,2,South Andaman,51903,1270226
Andaman & Nicobar Islands,2021,2,Nicobars,1699,381815
Andaman & Nicobar Islands,2021,3,North And Middle Andaman,9263,759314
Andaman & Nicobar Islands,2021,3,South Andaman,55873,1771107
Andaman & Nicobar Islands,2021,3,Nicobars,1846,591204
Andaman & Nicobar Islands,2021,4,North And Middle Andaman,10002,171921
Andaman & Nicobar Islands,2021,4,South Andaman,59807,1863037
Andaman & Nicobar Islands,2021,4,Nicobars,1971,77952
Andaman & Nicobar Islands,2022,1,North And Middle Andaman,10720,904869
Andaman & Nicobar Islands,2022,1,South Andaman,63487,2368756
Andaman & Nicobar Islands,2022,1,Nicobars,2081,573782
Andaman & Nicobar Islands,2022,2,North And Middle Andaman,11379,963824
Andaman & Nicobar Islands,2022,2,South Andaman,66959,3404740
Andaman & Nicobar Islands,2022,2,Nicobars,2192,811449
Andaman & Nicobar Islands,2022,3,North And Middle Andaman,11897,1176567
Andaman & Nicobar Islands,2022,3,South Andaman,70445,3607286
Andaman & Nicobar Islands,2022,3,Nicobars,2300,1284501
Andaman & Nicobar Islands,2022,4,North And Middle Andaman,12361,313502
Andaman & Nicobar Islands,2022,4,South Andaman,73692,3881359
Andaman & Nicobar Islands,2022,4,Nicobars,2389,159232
Andaman & Nicobar Islands,2023,1,North And Middle Andaman,12941,3103047
Andaman & Nicobar Islands,2023,1,South Andaman,77052,5450795
Andaman & Nicobar Islands,2023,1,Nicobars,2491,2458822
Andaman & Nicobar Islands,2023,2,North And Middle Andaman,13600,3174229
Andaman & Nicobar Islands,2023,2,South Andaman,80112,6884657
Andaman & Nicobar Islands,2023,2,Nicobars,2617,4679790
Andaman & Nicobar Islands,2023,3,North And Middle Andaman,14216,7130284
Andaman & Nicobar Islands,2023,3,South Andaman,83305,5950899
Andaman & Nicobar Islands,2023,3,Nicobars,2734,7463896
Andaman & Nicobar Islands,2023,4,North And Middle Andaman,14813,1869462
Andaman & Nicobar Islands,2023,4,South Andaman,86348,7452861
Andaman & Nicobar Islands,2023,4,Nicobars,2817,523637
Andaman & Nicobar Islands,2024,1,North And Middle Andaman,15539,9022450
Andaman & Nicobar Islands,2024,1,South Andaman,89907,12147903
Andaman & Nicobar Islands,2024,1,Nicobars,2965,7368398
Andaman & Nicobar Islands,2024,2,North And Middle Andaman,16183,6159746
Andaman & Nicobar Islands,2024,2,South Andaman,93421,6749599
Andaman & Nicobar Islands,2024,2,Nicobars,3083,3967538
Andaman & Nicobar Islands,2024,3,North And Middle Andaman,21728,9789799
Andaman & Nicobar Islands,2024,3,South Andaman,143250,6545536
Andaman & Nicobar Islands,2024,3,Nicobar,7495,3219511
Andaman & Nicobar Islands,2024,4,North And Middle Andaman,22547,2194985
Andaman & Nicobar Islands,2024,4,South Andaman,148543,15101583
Andaman & Nicobar Islands,2024,4,Nicobar,7698,1395115
Andhra Pradesh,2018,1,East Godavari,350356,0
Andhra Pradesh,2018,1,Srikakulam,143839,0
Andhra Pradesh,2018,1,Visakhapatnam,497187,0
Andhra Pradesh,2018,1,Prakasam,189949,0
Andhra Pradesh,2018,1,Anantapur,241192,0
Andhra Pradesh,2018,1,Kurnool,240133,0
Andhra Pradesh,2018,1,Guntur,317065,0
Andhra Pradesh,2018,1,Krishna,323673,0
Andhra Pradesh,2018,1,Spsr Nellore,194475,0
Andhra Pradesh,2018,1,Vizianagaram,128905,0
Andhra Pradesh,2018,1,Ysr,186800,0
Andhra Pradesh,2018,1,West Godavari,213335,0
Andhra Pradesh,2018,1,Chittoor,309541,0
Andhra Pradesh,2018,2,East Godavari,454398,0
Andhra Pradesh,2018,2,Srikakulam,186913,0
Andhra Pradesh,2018,2,Visakhapatnam,636052,0
Andhra Pradesh,2018,2,Prakasam,253458,0
Andhra Pradesh,2018,2,Anantapur,326383,0
Andhra Pradesh,2018,2,Kurnool,319313,0
Andhra Pradesh,2018,2,Guntur,420326,0
Andhra Pradesh,2018,2,Krishna,431965,0
Andhra Pradesh,2018,2,Spsr Nellore,261049,0
Andhra Pradesh,2018,2,Vizianagaram,167327,0
Andhra Pradesh,2018,2,Ysr,248657,0
