state,year,quarter,district,count,amount
Andaman & Nicobar Islands,2020,2,Nicobars,3,565.0
Andaman & Nicobar Islands,2020,2,South Andaman,3,795.0
Andaman & Nicobar Islands,2020,3,South Andaman,35,13651.0
Andaman & Nicobar Islands,2020,3,Nicobars,5,1448.0
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,1,281.0
Andaman & Nicobar Islands,2020,4,South Andaman,109,137494.0
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,13,17734.0
Andaman & Nicobar Islands,2020,4,Nicobars,2,2747.0
Andaman & Nicobar Islands,2021,1,South Andaman,164,167044.0
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,48,63978.0
Andaman & Nicobar Islands,2021,1,Nicobars,13,13244.0
Andaman & Nicobar Islands,2021,2,South Andaman,105,121104.0
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,28,45311.0
Andaman & Nicobar Islands,2021,2,Nicobars,4,15089.0
Andaman & Nicobar Islands,2021,3,South Andaman,182,223699.0
Andaman & Nicobar Islands,2021,3,North And Middle Andaman,33,50997.0
Andaman & Nicobar Islands,2021,3,Nicobars,15,30539.0
Andaman & Nicobar Islands,2021,4,South Andaman,632,800758.0
Andaman & Nicobar Islands,2021,4,North And Middle Andaman,81,182061.0
Andaman & Nicobar Islands,2021,4,Nicobars,44,73561.0
Andaman & Nicobar Islands,2022,1,South Andaman,692,982206.0
Andaman & Nicobar Islands,2022,1,North And Middle Andaman,48,85229.0
Andaman & Nicobar Islands,2022,1,Nicobars,28,63852.0
Andaman & Nicobar Islands,2022,2,South Andaman,430,633029.0
Andaman & Nicobar Islands,2022,2,North And Middle Andaman,45,90403.0
Andaman & Nicobar Islands,2022,2,Nicobars,26,56308.0
Andaman & Nicobar Islands,2022,3,South Andaman,535,687813.0
Andaman & Nicobar Islands,2022,3,North And Middle Andaman,70,129013.0
Andaman & Nicobar Islands,2022,3,Nicobars,38,85640.0
Andaman & Nicobar Islands,2022,4,South Andaman,750,1114857.0
Andaman & Nicobar Islands,2022,4,North And Middle Andaman,112,224198.0
Andaman & Nicobar Islands,2022,4,Nicobars,39,102155.0
Andaman & Nicobar Islands,2023,1,South Andaman,872,1172083.0
Andaman & Nicobar Islands,2023,1,North And Middle Andaman,85,178969.0
Andaman & Nicobar Islands,2023,1,Nicobars,47,88146.0
Andaman & Nicobar Islands,2023,2,South Andaman,670,1060976.0
Andaman & Nicobar Islands,2023,2,North And Middle Andaman,56,109742.0
Andaman & Nicobar Islands,2023,2,Nicobars,42,62677.0
Andaman & Nicobar Islands,2023,3,South Andaman,682,1052324.0
Andaman & Nicobar Islands,2023,3,North And Middle Andaman,77,133536.0
Andaman & Nicobar Islands,2023,3,Nicobars,36,65285.0
Andaman & Nicobar Islands,2023,4,South Andaman,1006,1504528.0
Andaman & Nicobar Islands,2023,4,North And Middle Andaman,95,156995.0
Andaman & Nicobar Islands,2023,4,Nicobars,44,96298.0
Andaman & Nicobar Islands,2024,1,South Andaman,1190,1657627.0
Andaman & Nicobar Islands,2024,1,North And Middle Andaman,125,229226.0
Andaman & Nicobar Islands,2024,1,Nicobars,56,77703.0
Andaman & Nicobar Islands,2024,2,South Andaman,974,1513489.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman,74,164686.0
Andaman & Nicobar Islands,2024,2,Nicobars,49,66519.0
Andaman & Nicobar Islands,2024,3,South Andaman,1044,1530179.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman,95,151791.0
Andaman & Nicobar Islands,2024,3,Nicobar,51,68638.0
Andaman & Nicobar Islands,2024,3,Nicobars,1,2192.0
Andaman & Nicobar Islands,2024,4,South Andaman,1085,1670015.0
Andaman & Nicobar Islands,2024,4,North And Middle Andaman,131,219770.0
Andaman & Nicobar Islands,2024,4,Nicobar,77,136595.0
Andhra Pradesh,2020,2,Visakhapatnam,3504,614212.0
Andhra Pradesh,2020,2,Anantapur,2739,485777.0
Andhra Pradesh,2020,2,Krishna,2698,475539.0
Andhra Pradesh,2020,2,Chittoor,2228,395099.0
Andhra Pradesh,2020,2,Ysr,1978,343002.0
Andhra Pradesh,2020,2,Guntur,1938,344326.0
Andhra Pradesh,2020,2,East Godavari,1913,352220.0
Andhra Pradesh,2020,2,West Godavari,1074,202289.0
Andhra Pradesh,2020,2,Spsr Nellore,931,176423.0
Andhra Pradesh,2020,2,Vizianagaram,893,166029.0
Andhra Pradesh,2020,3,Visakhapatnam,7906,1892376.0
Andhra Pradesh,2020,3,Spsr Nellore,5509,1259159.0
Andhra Pradesh,2020,3,Krishna,4519,1093882.0
Andhra Pradesh,2020,3,Chittoor,4422,1178762.0
Andhra Pradesh,2020,3,Guntur,4230,1083584.0
Andhra Pradesh,2020,3,East Godavari,3783,970549.0
Andhra Pradesh,2020,3,Kurnool,3493,841970.0
Andhra Pradesh,2020,3,Ysr,3397,847519.0
Andhra Pradesh,2020,3,Vizianagaram,2999,691281.0
Andhra Pradesh,2020,3,Anantapur,2911,764850.0
Andhra Pradesh,2020,4,Visakhapatnam,3464,2203761.0
Andhra Pradesh,2020,4,Guntur,2570,1620649.0
Andhra Pradesh,2020,4,Krishna,2311,1222782.0
Andhra Pradesh,2020,4,East Godavari,1965,1355741.0
Andhra Pradesh,2020,4,Chittoor,1727,1168506.0
Andhra Pradesh,2020,4,Anantapur,1534,794053.0
Andhra Pradesh,2020,4,West Godavari,1390,906282.0
Andhra Pradesh,2020,4,Spsr Nellore,1348,810758.0
Andhra Pradesh,2020,4,Prakasam,1190,572976.0
Andhra Pradesh,2020,4,Ysr,1165,631876.0
Andhra Pradesh,2021,1,Visakhapatnam,4006,2403199.0
Andhra Pradesh,2021,1,Krishna,2722,1699716.0
Andhra Pradesh,2021,1,Guntur,2412,1398326.0
Andhra Pradesh,2021,1,East Godavari,1937,1065604.0
Andhra Pradesh,2021,1,Chittoor,1629,1058050.0
Andhra Pradesh,2021,1,West Godavari,1460,850251.0
Andhra Pradesh,2021,1,Spsr Nellore,1323,714947.0
Andhra Pradesh,2021,1,Kurnool,1270,508161.0
Andhra Pradesh,2021,1,Ysr,1265,729565.0
Andhra Pradesh,2021,1,Anantapur,1264,621128.0
Andhra Pradesh,2021,2,Prakasam,5308,2719134.0
Andhra Pradesh,2021,2,Visakhapatnam,4655,3497573.0
Andhra Pradesh,2021,2,West Godavari,4170,2327122.0
Andhra Pradesh,2021,2,Krishna,3451,2494257.0
Andhra Pradesh,2021,2,Guntur,2967,2201793.0
Andhra Pradesh,2021,2,Chittoor,2392,1839579.0
Andhra Pradesh,2021,2,East Godavari,2343,1695121.0
Andhra Pradesh,2021,2,Spsr Nellore,1817,1245872.0
Andhra Pradesh,2021,2,Anantapur,1631,1284850.0
Andhra Pradesh,2021,2,Kurnool,1410,941389.0
Andhra Pradesh,2021,3,Visakhapatnam,4044,3191769.0
Andhra Pradesh,2021,3,Krishna,3258,2722279.0
Andhra Pradesh,2021,3,Guntur,2519,2102143.0
Andhra Pradesh,2021,3,East Godavari,2248,2073825.0
Andhra Pradesh,2021,3,Chittoor,1991,1995617.0
Andhra Pradesh,2021,3,Spsr Nellore,1486,1161025.0
Andhra Pradesh,2021,3,West Godavari,1452,1216098.0
Andhra Pradesh,2021,3,Anantapur,1329,1311735.0
Andhra Pradesh,2021,3,Ysr,1137,1033282.0
Andhra Pradesh,2021,3,Prakasam,1050,877683.0
Andhra Pradesh,2021,4,Visakhapatnam,4176,5425896.0
Andhra Pradesh,2021,4,Krishna,3029,3841028.0
Andhra Pradesh,2021,4,Guntur,2709,3214794.0
Andhra Pradesh,2021,4,East Godavari,2532,3543718.0
Andhra Pradesh,2021,4,Chittoor,2444,3100521.0
Andhra Pradesh,2021,4,Spsr Nellore,2369,2345876.0
Andhra Pradesh,2021,4,Ysr,1449,1479933.0
Andhra Pradesh,2021,4,Anantapur,1322,2101400.0
Andhra Pradesh,2021,4,West Godavari,1262,1853561.0
Andhra Pradesh,2021,4,Prakasam,1181,1328774.0
Andhra Pradesh,2022,1,Visakhapatnam,5196,6953446.0
Andhra Pradesh,2022,1,Krishna,3914,5279784.0
Andhra Pradesh,2022,1,East Godavari,3605,5199664.0
Andhra Pradesh,2022,1,Chittoor,2887,4304499.0
Andhra Pradesh,2022,1,Guntur,2748,3988284.0
Andhra Pradesh,2022,1,West Godavari,1991,3109555.0
Andhra Pradesh,2022,1,Spsr Nellore,1878,2608475.0
Andhra Pradesh,2022,1,Prakasam,1797,2181402.0
Andhra Pradesh,2022,1,Anantapur,1551,2556602.0
Andhra Pradesh,2022,1,Ysr,1439,2086496.0
Andhra Pradesh,2022,2,Visakhapatnam,5851,7046107.0
Andhra Pradesh,2022,2,Krishna,4578,5733009.0
Andhra Pradesh,2022,2,Guntur,3115,3979873.0
Andhra Pradesh,2022,2,East Godavari,3103,3899091.0
Andhra Pradesh,2022,2,Chittoor,2836,4207850.0
Andhra Pradesh,2022,2,West Godavari,2141,2903957.0
Andhra Pradesh,2022,2,Spsr Nellore,2063,2686947.0
Andhra Pradesh,2022,2,Prakasam,1962,2331922.0
Andhra Pradesh,2022,2,Anantapur,1794,2729962.0
Andhra Pradesh,2022,2,Ysr,1418,1920103.0
Andhra Pradesh,2022,3,Visakhapatnam,6720,7779967.0
Andhra Pradesh,2022,3,Krishna,5529,6149431.0
Andhra Pradesh,2022,3,Guntur,4431,5271211.0
Andhra Pradesh,2022,3,East Godavari,4355,5505134.0
Andhra Pradesh,2022,3,Chittoor,3729,5145111.0
Andhra Pradesh,2022,3,Spsr Nellore,2593,3257610.0
Andhra Pradesh,2022,3,West Godavari,2314,3113617.0
Andhra Pradesh,2022,3,Prakasam,2137,2552054.0
Andhra Pradesh,2022,3,Anantapur,1934,2719786.0
Andhra Pradesh,2022,3,Ysr,1892,2559169.0
Andhra Pradesh,2022,4,Visakhapatnam,7636,9911879.0
Andhra Pradesh,2022,4,Krishna,5484,6977122.0
Andhra Pradesh,2022,4,Guntur,5199,6244165.0
Andhra Pradesh,2022,4,Chittoor,4641,6166050.0
Andhra Pradesh,2022,4,East Godavari,4450,5856052.0
Andhra Pradesh,2022,4,Spsr Nellore,2733,3658896.0
Andhra Pradesh,2022,4,West Godavari,2623,3513389.0
Andhra Pradesh,2022,4,Anantapur,2425,3710468.0
Andhra Pradesh,2022,4,Prakasam,2400,2848596.0
Andhra Pradesh,2022,4,Ysr,2261,2993022.0
Andhra Pradesh,2023,1,Visakhapatnam,6752,9502319.0
Andhra Pradesh,2023,1,Krishna,4693,6275818.0
Andhra Pradesh,2023,1,East Godavari,4069,5915626.0
Andhra Pradesh,2023,1,Guntur,3542,4957590.0
Andhra Pradesh,2023,1,Chittoor,3284,5677174.0
Andhra Pradesh,2023,1,Spsr Nellore,2461,3621734.0
Andhra Pradesh,2023,1,West Godavari,2196,3370241.0
Andhra Pradesh,2023,1,Anantapur,1565,2882540.0
Andhra Pradesh,2023,1,Ysr,1509,2235497.0
Andhra Pradesh,2023,1,Prakasam,1437,2188369.0
Andhra Pradesh,2023,2,Visakhapatnam,7000,8910217.0
Andhra Pradesh,2023,2,Krishna,5163,6666796.0
Andhra Pradesh,2023,2,Chittoor,3756,5988173.0
Andhra Pradesh,2023,2,Guntur,3725,5015442.0
Andhra Pradesh,2023,2,East Godavari,3690,5519480.0
Andhra Pradesh,2023,2,Spsr Nellore,2468,3679371.0
Andhra Pradesh,2023,2,West Godavari,2140,3383512.0
Andhra Pradesh,2023,2,Anantapur,1688,3027497.0
Andhra Pradesh,2023,2,Ysr,1652,2426306.0
Andhra Pradesh,2023,2,Kurnool,1473,2483871.0
Andhra Pradesh,2023,3,Visakhapatnam,8972,11107138.0
Andhra Pradesh,2023,3,Krishna,6187,7831756.0
Andhra Pradesh,2023,3,Guntur,4604,5810698.0
Andhra Pradesh,2023,3,East Godavari,4157,5720660.0
Andhra Pradesh,2023,3,Chittoor,3993,6350318.0
Andhra Pradesh,2023,3,Spsr Nellore,3082,3962298.0
Andhra Pradesh,2023,3,West Godavari,2308,3162591.0
Andhra Pradesh,2023,3,Anantapur,1947,3392196.0
Andhra Pradesh,2023,3,Ysr,1900,2732465.0
Andhra Pradesh,2023,3,Kurnool,1723,2310997.0
Andhra Pradesh,2023,4,Visakhapatnam,8787,12027284.0
Andhra Pradesh,2023,4,Krishna,5268,7328216.0
Andhra Pradesh,2023,4,Guntur,4354,6154821.0
