year,quarter,state,count,amount
2020,2,Maharashtra,39836,6879717.0
2020,2,Karnataka,27358,4794150.0
2020,2,Andhra Pradesh,22104,3982391.0
2020,2,Telangana,19003,3419453.0
2020,2,Delhi,11716,1897480.0
2020,2,Uttar Pradesh,9884,1912266.0
2020,2,Gujarat,7697,1430591.0
2020,2,West Bengal,7619,1432764.0
2020,2,Haryana,6321,1179814.0
2020,2,Madhya Pradesh,6283,1198701.0
2020,3,Maharashtra,71662,19230156.0
2020,3,Karnataka,53701,12407394.0
2020,3,Andhra Pradesh,49812,12426481.0
2020,3,Telangana,34395,8406543.0
2020,3,Uttar Pradesh,18131,4436969.0
2020,3,Rajasthan,15235,3758527.0
2020,3,Madhya Pradesh,14476,3496126.0
2020,3,West Bengal,12596,2878482.0
2020,3,Gujarat,12525,3335812.0
2020,3,Odisha,10955,2640191.0
2020,4,Maharashtra,44798,27113814.0
2020,4,Karnataka,31747,26814968.0
2020,4,Andhra Pradesh,21464,12985632.0
2020,4,Telangana,20961,11339099.0
2020,4,Uttar Pradesh,17470,14180417.0
2020,4,Rajasthan,12509,6471573.0
2020,4,Madhya Pradesh,10653,4897124.0
2020,4,Tamil Nadu,10290,8993575.0
2020,4,West Bengal,10233,7510455.0
2020,4,Gujarat,9990,6055037.0
2021,1,Maharashtra,55792,33137753.0
2021,1,Karnataka,37595,30183325.0
2021,1,Telangana,28298,14810947.0
2021,1,Uttar Pradesh,24103,18027573.0
2021,1,Andhra Pradesh,22105,12749874.0
2021,1,Rajasthan,17800,8074225.0
2021,1,West Bengal,15488,11172042.0
2021,1,Madhya Pradesh,14427,5567927.0
2021,1,Tamil Nadu,14406,11180849.0
2021,1,Delhi,12822,9655261.0
2021,2,Maharashtra,70381,46763103.0
2021,2,Karnataka,40969,39501006.0
2021,2,Andhra Pradesh,33205,22730687.0
2021,2,Telangana,28870,20935651.0
2021,2,Uttar Pradesh,25952,25137571.0
2021,2,Rajasthan,18281,14357445.0
2021,2,Tamil Nadu,17682,16444344.0
2021,2,West Bengal,15200,12396029.0
2021,2,Madhya Pradesh,14803,9787391.0
2021,2,Gujarat,14676,10263998.0
2021,3,Maharashtra,52268,41313307.0
2021,3,Karnataka,47468,48078366.0
2021,3,Uttar Pradesh,32799,32641118.0
2021,3,Telangana,27080,20925217.0
2021,3,West Bengal,24839,21424337.0
2021,3,Tamil Nadu,23107,23402918.0
2021,3,Andhra Pradesh,23075,19914338.0
2021,3,Bihar,18030,18234941.0
2021,3,Delhi,16679,15007079.0
2021,3,Rajasthan,16643,12793862.0
2021,4,Maharashtra,82423,93262227.0
2021,4,Karnataka,74436,90723288.0
2021,4,Uttar Pradesh,44132,59654951.0
2021,4,Telangana,34848,38845492.0
2021,4,Delhi,34251,36578331.0
2021,4,Tamil Nadu,33037,42184290.0
2021,4,West Bengal,26320,31282871.0
2021,4,Andhra Pradesh,25423,31610335.0
2021,4,Bihar,22456,27313813.0
2021,4,Haryana,19489,25885838.0
2022,1,Karnataka,95640,130733580.0
2022,1,Maharashtra,88015,117411928.0
2022,1,Tamil Nadu,47621,64969045.0
2022,1,Uttar Pradesh,45996,73014969.0
2022,1,West Bengal,38779,51160527.0
2022,1,Kerala,37110,64172190.0
2022,1,Telangana,36325,51942016.0
2022,1,Andhra Pradesh,29954,42648157.0
2022,1,Delhi,28232,35442069.0
2022,1,Haryana,22783,32526943.0
2022,2,Karnataka,93385,123228632.0
2022,2,Maharashtra,80935,104603934.0
2022,2,Uttar Pradesh,55133,77434953.0
2022,2,Tamil Nadu,46714,61835120.0
2022,2,Telangana,45600,58056956.0
2022,2,Kerala,35667,59920203.0
2022,2,West Bengal,33542,41737021.0
2022,2,Andhra Pradesh,32185,41708072.0
2022,2,Delhi,26378,31787281.0
2022,2,Gujarat,25381,32090965.0
2022,3,Karnataka,110273,144605784.0
2022,3,Maharashtra,90958,113835208.0
2022,3,Uttar Pradesh,64514,87703512.0
2022,3,Tamil Nadu,64356,79747520.0
2022,3,Kerala,54587,85390924.0
2022,3,Telangana,51465,64798126.0
2022,3,West Bengal,47853,59092307.0
2022,3,Andhra Pradesh,39301,48791931.0
2022,3,Delhi,35944,41570160.0
2022,3,Haryana,35346,45402800.0
2022,4,Karnataka,133971,185063287.0
2022,4,Maharashtra,125900,174915648.0
2022,4,Tamil Nadu,125491,146457790.0
2022,4,Uttar Pradesh,77022,116755813.0
2022,4,Kerala,65563,103982997.0
2022,4,Telangana,64655,88544127.0
2022,4,West Bengal,54277,70466433.0
2022,4,Delhi,48908,60603173.0
2022,4,Andhra Pradesh,44329,58043239.0
2022,4,Rajasthan,40926,60792838.0
2023,1,Karnataka,127376,186543426.0
2023,1,Maharashtra,112174,166596248.0
2023,1,Tamil Nadu,90690,116710222.0
2023,1,Uttar Pradesh,73080,127110494.0
2023,1,Kerala,62377,101786828.0
2023,1,West Bengal,56833,77461732.0
2023,1,Telangana,54508,82678207.0
2023,1,Delhi,45821,61040038.0
2023,1,Haryana,37287,61127194.0
2023,1,Andhra Pradesh,34920,51963355.0
2023,2,Karnataka,117232,175704013.0
2023,2,Maharashtra,102754,157303399.0
2023,2,Tamil Nadu,79698,105328191.0
2023,2,Uttar Pradesh,74194,122522457.0
2023,2,Kerala,61032,100620604.0
2023,2,Telangana,55118,79238968.0
2023,2,West Bengal,49792,65204280.0
2023,2,Delhi,41358,54951108.0
2023,2,Haryana,40710,62186066.0
2023,2,Rajasthan,37170,61301449.0
2023,3,Karnataka,139699,199448538.0
2023,3,Maharashtra,104872,151171882.0
2023,3,Tamil Nadu,91069,114625593.0
2023,3,Uttar Pradesh,78940,121483170.0
2023,3,Kerala,66059,110021582.0
2023,3,Telangana,61523,84397465.0
2023,3,West Bengal,58131,76359312.0
2023,3,Gujarat,51049,65768085.0
2023,3,Delhi,47113,58878500.0
2023,3,Andhra Pradesh,43150,57802396.0
2023,4,Karnataka,156076,248056311.0
2023,4,Maharashtra,136968,217657114.0
2023,4,Tamil Nadu,104871,139433796.0
2023,4,Uttar Pradesh,92125,165509877.0
2023,4,Kerala,73543,121905046.0
2023,4,West Bengal,72712,100365562.0
2023,4,Telangana,63993,105605522.0
2023,4,Delhi,56336,77332401.0
2023,4,Rajasthan,49741,94701652.0
2023,4,Haryana,47506,80747159.0
2024,1,Karnataka,169357,264708700.0
2024,1,Maharashtra,149016,224725389.0
2024,1,Tamil Nadu,111521,148976175.0
2024,1,Uttar Pradesh,103701,176442664.0
2024,1,West Bengal,79576,104987909.0
2024,1,Kerala,73106,115101791.0
2024,1,Telangana,67388,105607539.0
2024,1,Rajasthan,59127,102926410.0
2024,1,Delhi,53050,76232346.0
2024,1,Bihar,51592,63844442.0
2024,2,Karnataka,142599,239304982.0
2024,2,Maharashtra,118933,198945046.0
2024,2,Tamil Nadu,97348,135972378.0
2024,2,Uttar Pradesh,92458,159894258.0
2024,2,West Bengal,67048,89476633.0
2024,2,Kerala,65271,108142369.0
2024,2,Telangana,56941,96037304.0
2024,2,Rajasthan,55241,95504657.0
2024,2,Bihar,49101,65285065.0
2024,2,Delhi,46189,68046072.0
2024,3,Karnataka,174990,287393291.0
2024,3,Maharashtra,119776,201319952.0
2024,3,Tamil Nadu,116867,162128271.0
2024,3,Uttar Pradesh,92930,157303596.0
2024,3,Kerala,79123,131721699.0
2024,3,West Bengal,77158,107451766.0
2024,3,Telangana,64873,110715264.0
2024,3,Rajasthan,64533,108827800.0
2024,3,Haryana,49735,79198642.0
2024,3,Delhi,49150,71139489.0
2024,4,Karnataka,183532,305861806.0
2024,4,Maharashtra,168078,266942711.0
2024,4,Tamil Nadu,127002,173784251.0
2024,4,Uttar Pradesh,116589,199179867.0
2024,4,West Bengal,91719,120602777.0
2024,4,Kerala,89533,144083113.0
2024,4,Telangana,78498,124755619.0
2024,4,Rajasthan,73530,127930986.0
2024,4,Delhi,67962,94390728.0
2024,4,Bihar,62662,83739800.0
