state,year,quarter,district,count,amount
Andaman & Nicobar Islands,2018,1,South Andaman,5688,12560249.343665812
Andaman & Nicobar Islands,2018,1,Nicobars,528,1139848.801225994
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,442,931663.0770939873
Andaman & Nicobar Islands,2018,2,South Andaman,9395,23948235.51634325
Andaman & Nicobar Islands,2018,2,Nicobars,1120,3072436.9081196385
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,825,1317863.0834906558
Andaman & Nicobar Islands,2018,3,South Andaman,13511,44268112.46425246
Andaman & Nicobar Islands,2018,3,Nicobars,1471,6387829.151558982
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,1283,4901529.518499676
Andaman & Nicobar Islands,2018,4,South Andaman,20136,75411840.8018554
Andaman & Nicobar Islands,2018,4,North And Middle Andaman,2137,7955635.917688001
Andaman & Nicobar Islands,2018,4,Nicobars,1485,7180859.354911782
Andaman & Nicobar Islands,2019,1,South Andaman,25683,85501972.38780196
Andaman & Nicobar Islands,2019,1,North And Middle Andaman,3264,9561708.736298349
Andaman & Nicobar Islands,2019,1,Nicobars,1539,7236059.549389593
Andaman & Nicobar Islands,2019,2,South Andaman,28490,102530955.71341258
Andaman & Nicobar Islands,2019,2,North And Middle Andaman,3371,8612103.13788812
Andaman & Nicobar Islands,2019,2,Nicobars,1828,9111650.82436246
Andaman & Nicobar Islands,2019,3,South Andaman,27421,91023888.32848613
Andaman & Nicobar Islands,2019,3,North And Middle Andaman,4049,11481466.283356791
Andaman & Nicobar Islands,2019,3,Nicobars,2300,11566421.475451011
Andaman & Nicobar Islands,2019,4,South Andaman,27843,110930312.20611623
Andaman & Nicobar Islands,2019,4,North And Middle Andaman,4716,13524056.784573946
Andaman & Nicobar Islands,2019,4,Nicobars,2600,12384161.52668771
Andaman & Nicobar Islands,2020,1,South Andaman,32713,134679396.90582758
Andaman & Nicobar Islands,2020,1,North And Middle Andaman,5674,14697371.617857102
Andaman & Nicobar Islands,2020,1,Nicobars,2911,12099543.773590053
Andaman & Nicobar Islands,2020,2,South Andaman,48088,132855778.74838585
Andaman & Nicobar Islands,2020,2,North And Middle Andaman,10979,22447714.061058953
Andaman & Nicobar Islands,2020,2,Nicobars,3895,14341508.60470232
Andaman & Nicobar Islands,2020,3,South Andaman,95323,282366109.20523936
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,16747,33486883.37042556
Andaman & Nicobar Islands,2020,3,Nicobars,5413,22166453.754695382
Andaman & Nicobar Islands,2020,4,South Andaman,186494,523122462.883029
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,29349,68941322.38839513
Andaman & Nicobar Islands,2020,4,Nicobars,8688,35218871.04342848
Andaman & Nicobar Islands,2021,1,South Andaman,207092,669604045.1248703
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,27358,75027255.27919498
Andaman & Nicobar Islands,2021,1,Nicobars,10302,39075266.9856904
Andaman & Nicobar Islands,2021,2,South Andaman,286907,760893020.5704947
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,39200,90233388.79463303
Andaman & Nicobar Islands,2021,2,Nicobars,15307,48020606.74716838
Andaman & Nicobar Islands,2021,3,South Andaman,382418,1116789010.6459613
Andaman & Nicobar Islands,2021,3,North And Middle Andaman,46592,118254865.82750683
Andaman & Nicobar Islands,2021,3,Nicobars,20754,74980519.32813609
Andaman & Nicobar Islands,2021,4,South Andaman,558571,1694794708.0093331
Andaman & Nicobar Islands,2021,4,North And Middle Andaman,53115,156486112.28732437
Andaman & Nicobar Islands,2021,4,Nicobars,24437,81329281.0269996
Andaman & Nicobar Islands,2022,1,South Andaman,705512,1872991195.902684
Andaman & Nicobar Islands,2022,1,North And Middle Andaman,60059,161624878.52274162
Andaman & Nicobar Islands,2022,1,Nicobars,29177,94414127.64974089
Andaman & Nicobar Islands,2022,2,South Andaman,954875,2357326563.362071
Andaman & Nicobar Islands,2022,2,North And Middle Andaman,72573,195693167.78757268
Andaman & Nicobar Islands,2022,2,Nicobars,43769,132900618.93062323
Andaman & Nicobar Islands,2022,3,South Andaman,1455255,2967719400.8499093
Andaman & Nicobar Islands,2022,3,North And Middle Andaman,79574,211581970.34202653
Andaman & Nicobar Islands,2022,3,Nicobars,49550,131330400.94545083
