year,quarter,state,count,amount
2018,1,Maharashtra,16387034,21711613257.725674
2018,1,Uttar Pradesh,12537805,13939970923.223106
2018,1,Karnataka,12016899,19217895314.012802
2018,1,West Bengal,11710225,10625978552.140453
2018,1,Andhra Pradesh,9039585,11996276391.823706
2018,1,Telangana,8522766,13308204118.542435
2018,1,Madhya Pradesh,8025395,8681603403.446348
2018,1,Rajasthan,7591690,8926293130.72684
2018,1,Delhi,7122754,11211503806.91996
2018,1,Tamil Nadu,6726622,11261557697.516891
2018,2,Maharashtra,22285740,36357057241.12254
2018,2,West Bengal,18082446,18629183470.204285
2018,2,Uttar Pradesh,17710943,25720201695.701435
2018,2,Karnataka,17116447,33515580081.29709
2018,2,Andhra Pradesh,12353918,22883914272.633617
2018,2,Telangana,10764670,23017201517.652737
2018,2,Madhya Pradesh,10561412,15924081066.680984
2018,2,Tamil Nadu,9992128,20125844276.267662
2018,2,Rajasthan,9973697,15559086175.759623
2018,2,Delhi,9373723,17446299902.205147
2018,3,West Bengal,53705416,41843934183.177635
2018,3,Maharashtra,31538538,52260817733.24835
2018,3,Odisha,30052155,23094515775.585762
2018,3,Uttar Pradesh,26515356,37012114369.23937
2018,3,Karnataka,25980261,48225091755.80772
2018,3,Andhra Pradesh,25626061,35718044599.21416
2018,3,Telangana,19332703,32030093209.72354
2018,3,Delhi,18547048,27375846860.618515
2018,3,Madhya Pradesh,17126985,24149742204.673225
2018,3,Tamil Nadu,15774078,29330092241.18405
2018,4,Maharashtra,46090223,79518937047.82959
2018,4,Karnataka,44812071,73008386576.05942
2018,4,West Bengal,36513548,40489619211.70402
2018,4,Uttar Pradesh,36100767,55096743575.91497
2018,4,Andhra Pradesh,30759548,51473779406.84041
2018,4,Delhi,29187719,39722857618.706436
2018,4,Telangana,28921154,49509088448.04927
2018,4,Tamil Nadu,22457444,43302073975.890976
2018,4,Madhya Pradesh,21397555,33905608072.964783
2018,4,Odisha,21142798,23429869571.55922
2019,1,Karnataka,86587609,117976382145.74966
2019,1,Maharashtra,75079069,111420690920.33997
2019,1,Telangana,65290702,95523262035.66321
2019,1,Uttar Pradesh,57324504,76524180134.0167
2019,1,Andhra Pradesh,57264522,83760595917.0792
2019,1,West Bengal,47626388,50164672623.8785
2019,1,Delhi,47007327,58469131789.49733
2019,1,Rajasthan,43956040,61141158575.55252
2019,1,Madhya Pradesh,37301049,48070279522.042015
2019,1,Odisha,34031942,35427127930.698456
2019,2,Karnataka,115401604,163702024226.0841
2019,2,Maharashtra,101149853,153294470088.05945
2019,2,Telangana,89610379,155676443182.43457
2019,2,Uttar Pradesh,58883500,98917519370.67831
2019,2,Delhi,57171512,81706816063.62862
2019,2,Andhra Pradesh,56409015,113634518758.22931
2019,2,Rajasthan,50009286,89107313172.66756
2019,2,West Bengal,47023535,57105691119.11844
2019,2,Madhya Pradesh,40846013,68334566380.56182
2019,2,Tamil Nadu,32171737,64207676025.75553
2019,3,Karnataka,170733735,214536720438.18292
2019,3,Maharashtra,148735581,199617506744.94272
2019,3,Telangana,121495376,201930021130.42365
2019,3,Andhra Pradesh,76288614,139447944254.78943
2019,3,Delhi,69537876,103196812046.45712
2019,3,Uttar Pradesh,68623959,111268137475.02844
2019,3,Rajasthan,67303617,112468290031.92343
2019,3,West Bengal,66444829,70540532616.82985
2019,3,Madhya Pradesh,53610411,77676321491.22867
2019,3,Odisha,41422272,57304577359.217094
2019,4,Karnataka,237796252,295047143447.2384
2019,4,Maharashtra,201260620,272994428799.56488
2019,4,Telangana,163572258,280746765547.7425
2019,4,Andhra Pradesh,107218103,200948315488.80518
2019,4,West Bengal,96805838,88203610254.64601
2019,4,Uttar Pradesh,86905005,145538926507.3059
2019,4,Rajasthan,85074242,159452410049.68317
2019,4,Delhi,80744997,129024467424.89066
2019,4,Madhya Pradesh,68131989,104687926790.8659
2019,4,Odisha,64995633,79769373632.04843
2020,1,Karnataka,271033890,353402054999.4003
2020,1,Maharashtra,238944081,319995196718.0683
2020,1,Telangana,199409525,371343780368.2118
2020,1,Andhra Pradesh,127677357,252737214289.0485
2020,1,Rajasthan,102258812,190308238561.00217
2020,1,Uttar Pradesh,97239132,172416434960.69037
2020,1,Delhi,81747604,133616543642.58943
2020,1,Madhya Pradesh,79366746,126737281436.18527
2020,1,Tamil Nadu,66953473,116569686179.4346
2020,1,West Bengal,66250381,96653305190.9406
2020,2,Karnataka,213221712,321104877020.14185
2020,2,Maharashtra,184790761,296359517159.4161
2020,2,Telangana,152055143,321531839352.42236
2020,2,Andhra Pradesh,144917855,302583689746.5449
2020,2,Rajasthan,101954656,193763273003.28284
2020,2,Uttar Pradesh,100851965,178744016130.31216
2020,2,Madhya Pradesh,76340573,147922015289.08447
2020,2,Delhi,66042018,107873438203.3316
2020,2,West Bengal,57676797,100099431877.35757
2020,2,Bihar,53386742,128806523628.85289
2020,3,Karnataka,300360531,470740515696.6945
2020,3,Maharashtra,268310924,440307079012.4761
2020,3,Telangana,236372126,505961144755.88367
2020,3,Andhra Pradesh,204902935,467084130584.9388
2020,3,Rajasthan,149088676,293678306162.4698
2020,3,Uttar Pradesh,127405259,248689955423.05322
2020,3,Madhya Pradesh,108579881,205701679984.5376
2020,3,Delhi,96491861,175163962804.6604
2020,3,West Bengal,79954504,156813355855.1383
2020,3,Bihar,71503748,173328865111.81442
2020,4,Karnataka,431536984,658036698565.0032
2020,4,Maharashtra,407621004,622155530832.2585
2020,4,Telangana,343643787,696350439226.9452
2020,4,Andhra Pradesh,286118552,654841546033.3186
2020,4,Rajasthan,190283435,386034779836.48376
2020,4,Uttar Pradesh,178167517,357428826778.2578
2020,4,Madhya Pradesh,153652541,284275139772.3589
2020,4,Delhi,120540417,216265088224.54358
2020,4,Tamil Nadu,111179701,206473197500.99268
2020,4,West Bengal,100340645,199165491365.6468
2021,1,Karnataka,523797492,754995357412.3948
2021,1,Maharashtra,517860240,769887352153.2483
2021,1,Telangana,412572110,799359264046.5657
2021,1,Andhra Pradesh,289747970,672444670176.5881
2021,1,Rajasthan,252730919,491492581657.63354
2021,1,Uttar Pradesh,204499547,396287587577.55756
2021,1,Madhya Pradesh,201998498,343533954382.3015
2021,1,Delhi,157359004,266928345043.49225
2021,1,Tamil Nadu,136556674,248668143873.65317
2021,1,West Bengal,118254052,242937207475.51984
2021,2,Maharashtra,573616486,915115055623.7152
2021,2,Karnataka,530649046,837887151230.051
2021,2,Telangana,495867544,1027958332797.5903
2021,2,Andhra Pradesh,352767134,850737499108.2987
2021,2,Rajasthan,287477039,561702765169.2324
2021,2,Uttar Pradesh,241949131,482172489166.39343
2021,2,Madhya Pradesh,223314680,425500768035.631
2021,2,Delhi,170157264,281941097684.5416
2021,2,Bihar,155603622,374580255186.58875
2021,2,Tamil Nadu,146158442,263487341026.54623
2021,3,Maharashtra,792874060,1159257305167.4514
2021,3,Karnataka,753296539,1133234739157.5984
2021,3,Telangana,622886768,1178289126292.2617
2021,3,Andhra Pradesh,432032550,984218035564.1218
2021,3,Rajasthan,400284753,710511328542.4897
2021,3,Madhya Pradesh,311443334,504412603851.49896
2021,3,Uttar Pradesh,306543384,557080841279.8989
2021,3,Delhi,238760608,383858316548.281
2021,3,Tamil Nadu,204357404,365207323053.92737
2021,3,Bihar,187671113,397062760956.3983
2021,4,Maharashtra,1010731502,1475358473128.29
2021,4,Karnataka,931725438,1375471324349.8774
2021,4,Telangana,775989773,1463758189500.9146
2021,4,Andhra Pradesh,522254003,1156264447083.9229
2021,4,Rajasthan,487621597,903934418544.2667
2021,4,Uttar Pradesh,406157932,773890970072.1895
2021,4,Madhya Pradesh,404308084,656887492404.4789
2021,4,Delhi,292683359,488695314062.3906
2021,4,Tamil Nadu,259155976,443723952594.79407
2021,4,Bihar,245126945,519371614068.7477
2022,1,Maharashtra,1169506438,1681399273981.1611
2022,1,Karnataka,1057855407,1566649488305.8838
2022,1,Telangana,886453385,1670638169828.9993
2022,1,Andhra Pradesh,582603911,1294320646554.8625
2022,1,Rajasthan,564962220,1022050180980.1362
2022,1,Uttar Pradesh,473953246,883123174117.0391
2022,1,Madhya Pradesh,472703058,747665139599.6421
2022,1,Delhi,330999861,536964920836.2892
2022,1,Tamil Nadu,294573150,512789201600.616
2022,1,Bihar,284390434,611411695731.1455
2022,2,Maharashtra,1407533113,2006272382175.9395
2022,2,Karnataka,1277448960,1867146114059.214
2022,2,Telangana,1063382557,1951414544517.106
2022,2,Andhra Pradesh,671134030,1479853948202.9197
2022,2,Rajasthan,661170150,1152833518600.3425
2022,2,Uttar Pradesh,595298776,1067515182419.9624
2022,2,Madhya Pradesh,544899829,867024737328.533
2022,2,Delhi,410634184,629855650458.2181
2022,2,Bihar,360145029,754461454966.1152
2022,2,Tamil Nadu,354506937,590134727678.3616
2022,3,Telangana,1628165401,2706325865752.0645
2022,3,Maharashtra,1486389417,1947579187374.532
2022,3,Karnataka,1189761328,1665918232610.9397
2022,3,Rajasthan,767541360,1238489256318.2173
2022,3,Madhya Pradesh,731259559,1032908494249.5833
2022,3,Uttar Pradesh,703589072,1121370050898.7217
2022,3,Andhra Pradesh,642855035,1385077409712.0752
2022,3,Delhi,475592161,677612647116.1133
2022,3,Bihar,437367385,791446486557.8687
2022,3,Tamil Nadu,393496175,631879220373.2378
2022,4,Telangana,1819506832,2978252562916.1367
2022,4,Maharashtra,1688775272,2210470839617.1724
2022,4,Karnataka,1378910371,1904516622907.6313
2022,4,Madhya Pradesh,898828268,1302999857548.291
2022,4,Rajasthan,865574848,1456956699398.6523
2022,4,Uttar Pradesh,836369071,1376378802069.4856
