state,year,quarter,district,registered_users
Andaman & Nicobar Islands,2018,1,Unknown,5846
Andaman & Nicobar Islands,2018,1,Unknown,632
Andaman & Nicobar Islands,2018,1,Unknown,262
Andaman & Nicobar Islands,2018,2,Unknown,8143
Andaman & Nicobar Islands,2018,2,Unknown,911
Andaman & Nicobar Islands,2018,2,Unknown,351
Andaman & Nicobar Islands,2018,3,Unknown,10474
Andaman & Nicobar Islands,2018,3,Unknown,1208
Andaman & Nicobar Islands,2018,3,Unknown,467
Andaman & Nicobar Islands,2018,4,Unknown,13133
Andaman & Nicobar Islands,2018,4,Unknown,1553
Andaman & Nicobar Islands,2018,4,Unknown,536
Andaman & Nicobar Islands,2019,1,Unknown,15961
Andaman & Nicobar Islands,2019,1,Unknown,2013
Andaman & Nicobar Islands,2019,1,Unknown,622
Andaman & Nicobar Islands,2019,2,Unknown,18621
Andaman & Nicobar Islands,2019,2,Unknown,2417
Andaman & Nicobar Islands,2019,2,Unknown,693
Andaman & Nicobar Islands,2019,3,Unknown,20518
Andaman & Nicobar Islands,2019,3,Unknown,2662
Andaman & Nicobar Islands,2019,3,Unknown,751
Andaman & Nicobar Islands,2019,4,Unknown,22202
Andaman & Nicobar Islands,2019,4,Unknown,2955
Andaman & Nicobar Islands,2019,4,Unknown,803
Andaman & Nicobar Islands,2020,1,Unknown,24174
Andaman & Nicobar Islands,2020,1,Unknown,3315
Andaman & Nicobar Islands,2020,1,Unknown,879
Andaman & Nicobar Islands,2020,2,Unknown,27626
Andaman & Nicobar Islands,2020,2,Unknown,4100
Andaman & Nicobar Islands,2020,2,Unknown,984
Andaman & Nicobar Islands,2020,3,Unknown,34833
Andaman & Nicobar Islands,2020,3,Unknown,5355
Andaman & Nicobar Islands,2020,3,Unknown,1147
Andaman & Nicobar Islands,2020,4,Unknown,43908
Andaman & Nicobar Islands,2020,4,Unknown,7076
Andaman & Nicobar Islands,2020,4,Unknown,1412
Andaman & Nicobar Islands,2021,1,Unknown,48352
Andaman & Nicobar Islands,2021,1,Unknown,7833
Andaman & Nicobar Islands,2021,1,Unknown,1573
Andaman & Nicobar Islands,2021,2,Unknown,51903
Andaman & Nicobar Islands,2021,2,Unknown,8493
Andaman & Nicobar Islands,2021,2,Unknown,1699
Andaman & Nicobar Islands,2021,3,Unknown,55873
Andaman & Nicobar Islands,2021,3,Unknown,9263
Andaman & Nicobar Islands,2021,3,Unknown,1846
Andaman & Nicobar Islands,2021,4,Unknown,59807
Andaman & Nicobar Islands,2021,4,Unknown,10002
Andaman & Nicobar Islands,2021,4,Unknown,1971
Andaman & Nicobar Islands,2022,1,Unknown,63487
Andaman & Nicobar Islands,2022,1,Unknown,10720
Andaman & Nicobar Islands,2022,1,Unknown,2081
Andaman & Nicobar Islands,2022,2,Unknown,66959
Andaman & Nicobar Islands,2022,2,Unknown,11379
Andaman & Nicobar Islands,2022,2,Unknown,2192
Andaman & Nicobar Islands,2022,3,Unknown,70445
Andaman & Nicobar Islands,2022,3,Unknown,11897
Andaman & Nicobar Islands,2022,3,Unknown,2300
Andaman & Nicobar Islands,2022,4,Unknown,73692
Andaman & Nicobar Islands,2022,4,Unknown,12361
Andaman & Nicobar Islands,2022,4,Unknown,2389
Andaman & Nicobar Islands,2023,1,Unknown,77052
Andaman & Nicobar Islands,2023,1,Unknown,12941
Andaman & Nicobar Islands,2023,1,Unknown,2491
Andaman & Nicobar Islands,2023,2,Unknown,80112
Andaman & Nicobar Islands,2023,2,Unknown,13600
Andaman & Nicobar Islands,2023,2,Unknown,2617
Andaman & Nicobar Islands,2023,3,Unknown,83305
Andaman & Nicobar Islands,2023,3,Unknown,14216
Andaman & Nicobar Islands,2023,3,Unknown,2734
Andaman & Nicobar Islands,2023,4,Unknown,86348
Andaman & Nicobar Islands,2023,4,Unknown,14813
Andaman & Nicobar Islands,2023,4,Unknown,2817
Andaman & Nicobar Islands,2024,1,Unknown,89907
Andaman & Nicobar Islands,2024,1,Unknown,15539
Andaman & Nicobar Islands,2024,1,Unknown,2965
Andaman & Nicobar Islands,2024,2,Unknown,93421
Andaman & Nicobar Islands,2024,2,Unknown,16183
Andaman & Nicobar Islands,2024,2,Unknown,3083
Andaman & Nicobar Islands,2024,3,Unknown,143250
Andaman & Nicobar Islands,2024,3,Unknown,21728
Andaman & Nicobar Islands,2024,3,Unknown,7495
Andaman & Nicobar Islands,2024,4,Unknown,148543
Andaman & Nicobar Islands,2024,4,Unknown,22547
Andaman & Nicobar Islands,2024,4,Unknown,7698
Andhra Pradesh,2018,1,Unknown,497187
Andhra Pradesh,2018,1,Unknown,350356
Andhra Pradesh,2018,1,Unknown,323673
Andhra Pradesh,2018,1,Unknown,317065
Andhra Pradesh,2018,1,Unknown,309541
Andhra Pradesh,2018,1,Unknown,241192
Andhra Pradesh,2018,1,Unknown,240133
Andhra Pradesh,2018,1,Unknown,213335
Andhra Pradesh,2018,1,Unknown,194475
Andhra Pradesh,2018,1,Unknown,189949
Andhra Pradesh,2018,2,Unknown,636052
Andhra Pradesh,2018,2,Unknown,454398
Andhra Pradesh,2018,2,Unknown,431965
Andhra Pradesh,2018,2,Unknown,420326
Andhra Pradesh,2018,2,Unknown,414306
Andhra Pradesh,2018,2,Unknown,326383
Andhra Pradesh,2018,2,Unknown,319313
Andhra Pradesh,2018,2,Unknown,282393
Andhra Pradesh,2018,2,Unknown,261049
Andhra Pradesh,2018,2,Unknown,253458
Andhra Pradesh,2018,3,Unknown,769096
Andhra Pradesh,2018,3,Unknown,558982
Andhra Pradesh,2018,3,Unknown,537086
Andhra Pradesh,2018,3,Unknown,518931
Andhra Pradesh,2018,3,Unknown,515727
Andhra Pradesh,2018,3,Unknown,405855
Andhra Pradesh,2018,3,Unknown,394311
Andhra Pradesh,2018,3,Unknown,349782
Andhra Pradesh,2018,3,Unknown,322446
Andhra Pradesh,2018,3,Unknown,314899
Andhra Pradesh,2018,4,Unknown,978288
Andhra Pradesh,2018,4,Unknown,694455
Andhra Pradesh,2018,4,Unknown,682479
Andhra Pradesh,2018,4,Unknown,665280
Andhra Pradesh,2018,4,Unknown,659552
Andhra Pradesh,2018,4,Unknown,510892
Andhra Pradesh,2018,4,Unknown,498582
Andhra Pradesh,2018,4,Unknown,435668
Andhra Pradesh,2018,4,Unknown,407495
Andhra Pradesh,2018,4,Unknown,394962
Andhra Pradesh,2019,1,Unknown,1174517
Andhra Pradesh,2019,1,Unknown,839277
