state,year,quarter,pincode,registered_users
Andaman & Nicobar Islands,2018,1,Unknown,1608
Andaman & Nicobar Islands,2018,1,Unknown,1108
Andaman & Nicobar Islands,2018,1,Unknown,1075
Andaman & Nicobar Islands,2018,1,Unknown,1006
Andaman & Nicobar Islands,2018,1,Unknown,272
Andaman & Nicobar Islands,2018,1,Unknown,237
Andaman & Nicobar Islands,2018,1,Unknown,215
Andaman & Nicobar Islands,2018,1,Unknown,207
Andaman & Nicobar Islands,2018,1,Unknown,196
Andaman & Nicobar Islands,2018,1,Unknown,156
Andaman & Nicobar Islands,2018,2,Unknown,2188
Andaman & Nicobar Islands,2018,2,Unknown,1521
Andaman & Nicobar Islands,2018,2,Unknown,1492
Andaman & Nicobar Islands,2018,2,Unknown,1419
Andaman & Nicobar Islands,2018,2,Unknown,396
Andaman & Nicobar Islands,2018,2,Unknown,343
Andaman & Nicobar Islands,2018,2,Unknown,299
Andaman & Nicobar Islands,2018,2,Unknown,293
Andaman & Nicobar Islands,2018,2,Unknown,273
Andaman & Nicobar Islands,2018,2,Unknown,240
Andaman & Nicobar Islands,2018,3,Unknown,2741
Andaman & Nicobar Islands,2018,3,Unknown,1978
Andaman & Nicobar Islands,2018,3,Unknown,1935
Andaman & Nicobar Islands,2018,3,Unknown,1803
Andaman & Nicobar Islands,2018,3,Unknown,507
Andaman & Nicobar Islands,2018,3,Unknown,446
Andaman & Nicobar Islands,2018,3,Unknown,388
Andaman & Nicobar Islands,2018,3,Unknown,384
Andaman & Nicobar Islands,2018,3,Unknown,372
Andaman & Nicobar Islands,2018,3,Unknown,327
Andaman & Nicobar Islands,2018,4,Unknown,3373
Andaman & Nicobar Islands,2018,4,Unknown,2498
Andaman & Nicobar Islands,2018,4,Unknown,2416
Andaman & Nicobar Islands,2018,4,Unknown,2231
Andaman & Nicobar Islands,2018,4,Unknown,634
Andaman & Nicobar Islands,2018,4,Unknown,554
Andaman & Nicobar Islands,2018,4,Unknown,548
Andaman & Nicobar Islands,2018,4,Unknown,496
Andaman & Nicobar Islands,2018,4,Unknown,433
Andaman & Nicobar Islands,2018,4,Unknown,425
Andaman & Nicobar Islands,2019,1,Unknown,4136
Andaman & Nicobar Islands,2019,1,Unknown,3030
Andaman & Nicobar Islands,2019,1,Unknown,2994
Andaman & Nicobar Islands,2019,1,Unknown,2667
Andaman & Nicobar Islands,2019,1,Unknown,756
Andaman & Nicobar Islands,2019,1,Unknown,753
Andaman & Nicobar Islands,2019,1,Unknown,667
Andaman & Nicobar Islands,2019,1,Unknown,585
Andaman & Nicobar Islands,2019,1,Unknown,524
Andaman & Nicobar Islands,2019,1,Unknown,488
Andaman & Nicobar Islands,2019,2,Unknown,4748
Andaman & Nicobar Islands,2019,2,Unknown,3631
Andaman & Nicobar Islands,2019,2,Unknown,3547
Andaman & Nicobar Islands,2019,2,Unknown,3008
Andaman & Nicobar Islands,2019,2,Unknown,885
Andaman & Nicobar Islands,2019,2,Unknown,878
Andaman & Nicobar Islands,2019,2,Unknown,787
Andaman & Nicobar Islands,2019,2,Unknown,672
Andaman & Nicobar Islands,2019,2,Unknown,633
Andaman & Nicobar Islands,2019,2,Unknown,534
Andaman & Nicobar Islands,2019,3,Unknown,5218
Andaman & Nicobar Islands,2019,3,Unknown,4026
Andaman & Nicobar Islands,2019,3,Unknown,3920
Andaman & Nicobar Islands,2019,3,Unknown,3250
Andaman & Nicobar Islands,2019,3,Unknown,982
Andaman & Nicobar Islands,2019,3,Unknown,975
Andaman & Nicobar Islands,2019,3,Unknown,885
Andaman & Nicobar Islands,2019,3,Unknown,765
Andaman & Nicobar Islands,2019,3,Unknown,701
Andaman & Nicobar Islands,2019,3,Unknown,575
Andaman & Nicobar Islands,2019,4,Unknown,5637
Andaman & Nicobar Islands,2019,4,Unknown,4321
Andaman & Nicobar Islands,2019,4,Unknown,4277
Andaman & Nicobar Islands,2019,4,Unknown,3485
Andaman & Nicobar Islands,2019,4,Unknown,1087
Andaman & Nicobar Islands,2019,4,Unknown,1062
Andaman & Nicobar Islands,2019,4,Unknown,953
Andaman & Nicobar Islands,2019,4,Unknown,812
Andaman & Nicobar Islands,2019,4,Unknown,783
Andaman & Nicobar Islands,2019,4,Unknown,611
Andaman & Nicobar Islands,2020,1,Unknown,6108
Andaman & Nicobar Islands,2020,1,Unknown,4689
Andaman & Nicobar Islands,2020,1,Unknown,4684
Andaman & Nicobar Islands,2020,1,Unknown,3727
Andaman & Nicobar Islands,2020,1,Unknown,1216
Andaman & Nicobar Islands,2020,1,Unknown,1154
Andaman & Nicobar Islands,2020,1,Unknown,1062
Andaman & Nicobar Islands,2020,1,Unknown,889
Andaman & Nicobar Islands,2020,1,Unknown,886
Andaman & Nicobar Islands,2020,1,Unknown,669
Andaman & Nicobar Islands,2020,2,Unknown,6804
Andaman & Nicobar Islands,2020,2,Unknown,5479
Andaman & Nicobar Islands,2020,2,Unknown,5365
Andaman & Nicobar Islands,2020,2,Unknown,4066
Andaman & Nicobar Islands,2020,2,Unknown,1475
Andaman & Nicobar Islands,2020,2,Unknown,1333
Andaman & Nicobar Islands,2020,2,Unknown,1252
Andaman & Nicobar Islands,2020,2,Unknown,1039
Andaman & Nicobar Islands,2020,2,Unknown,1036
Andaman & Nicobar Islands,2020,2,Unknown,806
Andaman & Nicobar Islands,2020,3,Unknown,8318
Andaman & Nicobar Islands,2020,3,Unknown,7007
Andaman & Nicobar Islands,2020,3,Unknown,6881
Andaman & Nicobar Islands,2020,3,Unknown,4919
Andaman & Nicobar Islands,2020,3,Unknown,1965
Andaman & Nicobar Islands,2020,3,Unknown,1718
Andaman & Nicobar Islands,2020,3,Unknown,1710
Andaman & Nicobar Islands,2020,3,Unknown,1372
Andaman & Nicobar Islands,2020,3,Unknown,1279
